ticker,date,open,high,low,close
ACH,2022-05-24,0.0219458,0.0374051,0.0211467,0.0222111
ACH,2022-05-25,0.0222111,0.026668,0.0208649,0.021654
ACH,2022-05-26,0.021674,0.0224253,0.0173227,0.0176723
ACH,2022-05-27,0.0175707,0.017972,0.015994,0.0166433
ACH,2022-05-28,0.0166109,0.0178716,0.0163176,0.0176393
ACH,2022-05-29,0.017449,0.0178889,0.0168316,0.017091
ACH,2022-05-30,0.0170907,0.0184671,0.0169816,0.0183253
ACH,2022-05-31,0.0183053,0.0184053,0.0171663,0.0174243
ACH,2022-06-01,0.0173764,0.017807,0.0155744,0.0156943
ACH,2022-06-02,0.0156959,0.0160156,0.0152662,0.0156559
ACH,2022-06-03,0.0156759,0.0157878,0.0147432,0.0153466
ACH,2022-06-04,0.0154066,0.0158173,0.0149779,0.0152384
ACH,2022-06-05,0.0152387,0.0158067,0.0149874,0.0153655
ACH,2022-06-06,0.0153655,0.016135,0.015087,0.0153671
ACH,2022-06-07,0.0153871,0.0155266,0.0144481,0.0151677
ACH,2022-06-08,0.0151886,0.0157293,0.0148403,0.0152101
ACH,2022-06-09,0.0152301,0.0157677,0.0146085,0.0147076
ACH,2022-06-10,0.0146975,0.0153861,0.0140555,0.0144716
ACH,2022-06-11,0.0144814,0.0145515,0.0126843,0.013265
ACH,2022-06-12,0.0132748,0.0133649,0.0119431,0.0127243
ACH,2022-06-13,0.0127143,0.0160779,0.0105782,0.0121732
ACH,2022-06-14,0.0121732,0.0149468,0.0114931,0.0118258
ACH,2022-06-15,0.0118157,0.0124259,0.0109403,0.0123514
ACH,2022-06-16,0.0123415,0.0124863,0.0113963,0.0119664
ACH,2022-06-17,0.0120922,0.012797,0.0118773,0.012091
ACH,2022-06-18,0.01209,0.012212,0.0107848,0.0114215
ACH,2022-06-19,0.0114313,0.012515,0.0108444,0.0124838
ACH,2022-06-20,0.0124351,0.0125162,0.0118745,0.0122465
ACH,2022-06-21,0.0122265,0.0142971,0.0121654,0.0134865
ACH,2022-06-22,0.0134965,0.0136963,0.0120679,0.0122178
ACH,2022-06-23,0.0122278,0.012676,0.0119081,0.0121466
ACH,2022-06-24,0.0120979,0.0127101,0.0116689,0.0121104
ACH,2022-06-25,0.0121578,0.0126313,0.0119219,0.0124613
ACH,2022-06-26,0.0124714,0.0127531,0.0120926,0.0125423
ACH,2022-06-27,0.0125325,0.0130682,0.011969,0.0129386
ACH,2022-06-28,0.0128886,0.0140573,0.012045,0.012155
ACH,2022-06-29,0.0121754,0.0121754,0.0113152,0.0119056
ACH,2022-06-30,0.0118757,0.0139831,0.0110047,0.0122153
ACH,2022-07-01,0.0121754,0.0128732,0.0115538,0.0121266
ACH,2022-07-02,0.0121266,0.0128246,0.0119656,0.0121354
ACH,2022-07-03,0.0121654,0.0122753,0.0118646,0.0120443
ACH,2022-07-04,0.0120443,0.0125549,0.0117247,0.0122153
ACH,2022-07-05,0.0122453,0.0123651,0.0117858,0.0120367
ACH,2022-07-06,0.0120367,0.0121966,0.0118158,0.0121566
ACH,2022-07-07,0.0121566,0.0125861,0.0120567,0.0124026
ACH,2022-07-08,0.0123926,0.0139316,0.0121427,0.0129122
ACH,2022-07-09,0.0129222,0.0138317,0.0129222,0.0131221
ACH,2022-07-10,0.0130821,0.0131521,0.0122327,0.0125225
ACH,2022-07-11,0.0125225,0.0126212,0.0117383,0.0117594
ACH,2022-07-12,0.0117494,0.0124176,0.0116172,0.0118869
ACH,2022-07-13,0.0118986,0.011998,0.0112288,0.0116495
ACH,2022-07-14,0.0116595,0.0122127,0.0115508,0.0119828
ACH,2022-07-15,0.0119828,0.0125625,0.0119428,0.0123363
ACH,2022-07-16,0.0123463,0.0129261,0.0121551,0.0125362
ACH,2022-07-17,0.0125367,0.0133572,0.0122166,0.0125867
ACH,2022-07-18,0.0125766,0.0132983,0.0123763,0.0126971
ACH,2022-07-19,0.0127071,0.02272,0.0126379,0.0195231
ACH,2022-07-20,0.0194831,0.0223007,0.0170903,0.0185209
ACH,2022-07-21,0.0185211,0.0201216,0.0148913,0.0160839
ACH,2022-07-22,0.0160839,0.0174449,0.0158,0.0168937
ACH,2022-07-23,0.01686,0.0169039,0.0146903,0.0148528
ACH,2022-07-24,0.014853,0.0154411,0.0137821,0.0142027
ACH,2022-07-25,0.0142028,0.0148403,0.0135915,0.0140211
ACH,2022-07-26,0.0139814,0.0158408,0.0131809,0.0137121
ACH,2022-07-27,0.0137319,0.0145541,0.0135192,0.0143232
ACH,2022-07-28,0.0143537,0.0160934,0.0140927,0.0154631
ACH,2022-07-29,0.015444,0.015988,0.0148548,0.0153063
ACH,2022-07-30,0.0153063,0.0163861,0.0149952,0.0157353
ACH,2022-07-31,0.0157347,0.0187943,0.0153151,0.0163838
ACH,2022-08-01,0.0163866,0.0163939,0.0142233,0.0148044
ACH,2022-08-02,0.0148044,0.0163124,0.014344,0.0154726
ACH,2022-08-03,0.0155029,0.0171051,0.0150038,0.015974
ACH,2022-08-04,0.0159737,0.0161244,0.0153808,0.0155205
ACH,2022-08-05,0.0154906,0.0167213,0.0154906,0.0162931
ACH,2022-08-06,0.0162931,0.0164133,0.0158125,0.0160437
ACH,2022-08-07,0.0160537,0.0161824,0.0157235,0.0160029
ACH,2022-08-08,0.016041,0.0170943,0.015804,0.0161419
ACH,2022-08-09,0.0161219,0.0161934,0.0149536,0.0153431
ACH,2022-08-10,0.0153632,0.0160574,0.0149537,0.0157146
ACH,2022-08-11,0.0157144,0.0165061,0.0156553,0.0160876
ACH,2022-08-12,0.016058,0.0179672,0.0157879,0.0161374
ACH,2022-08-13,0.0161473,0.0165581,0.0159953,0.0161765
ACH,2022-08-14,0.0161962,0.0165566,0.0155239,0.0157049
ACH,2022-08-15,0.0157447,0.0163028,0.0155737,0.0160939
ACH,2022-08-16,0.016074,0.0161829,0.0156513,0.0157714
ACH,2022-08-17,0.0157714,0.0160823,0.0154205,0.0154811
ACH,2022-08-18,0.0154612,0.0155871,0.0149176,0.0151532
ACH,2022-08-19,0.0151585,0.0153705,0.0131113,0.013747
ACH,2022-08-20,0.0136005,0.0168018,0.0135291,0.0148999
ACH,2022-08-21,0.0149097,0.0150956,0.0144681,0.0147396
ACH,2022-08-22,0.0147004,0.0149079,0.0137692,0.0141275
ACH,2022-08-23,0.0141179,0.0146197,0.0138299,0.0145401
ACH,2022-08-24,0.014607,0.0149907,0.0138331,0.0145113
ACH,2022-08-25,0.014471,0.0148084,0.0142997,0.0145904
ACH,2022-08-26,0.0146431,0.0147001,0.0133067,0.0134712
ACH,2022-08-27,0.0134743,0.0137264,0.0127534,0.0131244
ACH,2022-08-28,0.0131223,0.013666,0.0127763,0.013489
ACH,2022-08-29,0.0134899,0.0143984,0.0128103,0.013591
ACH,2022-08-30,0.0136015,0.0138699,0.0130803,0.0132012
ACH,2022-08-31,0.0132519,0.0137191,0.0129896,0.0132599
ACH,2022-09-01,0.0132579,0.01372,0.0129846,0.0134692
ACH,2022-09-02,0.0134695,0.0140427,0.0131005,0.0132616
ACH,2022-09-03,0.0132221,0.0133515,0.01269,0.0129
ACH,2022-09-04,0.0129213,0.0132093,0.0127323,0.012929
ACH,2022-09-05,0.012921,0.013441,0.012732,0.0132283
ACH,2022-09-06,0.0132343,0.013452,0.01208,0.01222
ACH,2022-09-07,0.0122007,0.0125773,0.0118193,0.0124566
ACH,2022-09-08,0.0124699,0.0130893,0.0124421,0.0128501
ACH,2022-09-09,0.012848,0.0132642,0.0128429,0.0131425
ACH,2022-09-10,0.0131427,0.0136956,0.0130573,0.0131185
ACH,2022-09-11,0.0131328,0.0134475,0.0130011,0.0131403
ACH,2022-09-12,0.0131472,0.0133295,0.012956,0.0129743
ACH,2022-09-13,0.0129759,0.0131608,0.0121232,0.0122002
ACH,2022-09-14,0.0122272,0.0125269,0.0119147,0.0122251
ACH,2022-09-15,0.0122252,0.012448,0.0119729,0.0121379
ACH,2022-09-16,0.0121392,0.012355,0.0117932,0.0123538
ACH,2022-09-17,0.0123548,0.01275,0.0122698,0.012427
ACH,2022-09-18,0.012433,0.012536,0.0119938,0.012027
ACH,2022-09-19,0.012006,0.0120068,0.011471,0.0119694
ACH,2022-09-20,0.0119764,0.012016,0.011367,0.011409
ACH,2022-09-21,0.011388,0.011717,0.011121,0.01114
ACH,2022-09-22,0.011141,0.011492,0.0111,0.011253
ACH,2022-09-23,0.0112519,0.0124558,0.0112519,0.0118638
ACH,2022-09-24,0.0118691,0.0120216,0.011648,0.0116689
ACH,2022-09-25,0.011663,0.0120286,0.011644,0.011791
ACH,2022-09-26,0.0117819,0.0119812,0.0115988,0.011625
ACH,2022-09-27,0.0116188,0.012017,0.0114879,0.0116418
ACH,2022-09-28,0.0116398,0.0141,0.011335,0.0125
ACH,2022-09-29,0.0125,0.01295,0.01181,0.0120012
ACH,2022-09-30,0.01201,0.0121112,0.0116788,0.01173
ACH,2022-10-01,0.01172,0.01226,0.0113199,0.01179
ACH,2022-10-02,0.01179,0.0120412,0.0112111,0.01151
ACH,2022-10-03,0.01151,0.0119912,0.0112411,0.0116912
ACH,2022-10-04,0.0117172,0.0119766,0.0116662,0.0117485
ACH,2022-10-05,0.0117485,0.0117864,0.0113831,0.0117082
ACH,2022-10-06,0.0117283,0.0119125,0.0115912,0.011655
ACH,2022-10-07,0.011655,0.0116564,0.0112167,0.0112167
ACH,2022-10-08,0.0112186,0.0112485,0.0106097,0.01103
ACH,2022-10-09,0.0110299,0.0111631,0.0110121,0.0110622
ACH,2022-10-10,0.0110611,0.0117668,0.0108839,0.0110189
ACH,2022-10-11,0.01102,0.01102,0.0104371,0.0104481
ACH,2022-10-12,0.0104471,0.0105919,0.0103764,0.0104963
ACH,2022-10-13,0.0105003,0.010635,0.0099494,0.0104778
ACH,2022-10-14,0.0104789,0.0177518,0.0103347,0.0142706
ACH,2022-10-15,0.0142904,0.0153506,0.0121108,0.0121306
ACH,2022-10-16,0.0121406,0.0126004,0.0115409,0.0122505
ACH,2022-10-17,0.0122406,0.0129101,0.0119602,0.0122502
ACH,2022-10-18,0.0122104,0.012361,0.0116901,0.0118105
ACH,2022-10-19,0.0118106,0.0118912,0.0113901,0.011578
ACH,2022-10-20,0.0115849,0.0116856,0.0112751,0.0113419
ACH,2022-10-21,0.0113422,0.0126441,0.0112281,0.0118498
ACH,2022-10-22,0.0118308,0.011961,0.0108103,0.0110389
ACH,2022-10-23,0.0110389,0.0113201,0.01091,0.0112156
ACH,2022-10-24,0.0112205,0.0116473,0.0111202,0.0115006
ACH,2022-10-25,0.0115003,0.0117315,0.0111895,0.0113816
ACH,2022-10-26,0.0113818,0.0135105,0.0112812,0.0125975
ACH,2022-10-27,0.0125535,0.0158044,0.0120005,0.0120507
ACH,2022-10-28,0.0120707,0.012492,0.0115416,0.0121724
ACH,2022-10-29,0.0121824,0.0124134,0.0115138,0.0119728
ACH,2022-10-30,0.0119829,0.0121332,0.0113834,0.0114023
ACH,2022-10-31,0.0113952,0.012192,0.0113025,0.012038
ACH,2022-11-01,0.0120693,0.0125392,0.0114979,0.0115788
ACH,2022-11-02,0.0115986,0.0116281,0.0112529,0.0113198
ACH,2022-11-03,0.0113193,0.0121989,0.0112924,0.0119099
ACH,2022-11-04,0.0119099,0.0124315,0.0117499,0.012411
ACH,2022-11-05,0.0124309,0.0125913,0.0121602,0.0122506
ACH,2022-11-06,0.0122506,0.0123411,0.0119102,0.0121208
ACH,2022-11-07,0.0121208,0.012121,0.0115409,0.0116114
ACH,2022-11-08,0.0116075,0.0118155,0.0100581,0.0105506
ACH,2022-11-09,0.0105425,0.0107661,0.0090972,0.0091785
ACH,2022-11-10,0.0091898,0.0115145,0.0091127,0.0108554
ACH,2022-11-11,0.0108375,0.0122415,0.0097809,0.009973
ACH,2022-11-12,0.009968,0.0101495,0.0095907,0.0096386
ACH,2022-11-13,0.0096386,0.0097544,0.0091349,0.0093878
ACH,2022-11-14,0.0093808,0.0093827,0.0085102,0.0090273
ACH,2022-11-15,0.009026,0.0106184,0.009026,0.009941
ACH,2022-11-16,0.0099389,0.0106535,0.0097842,0.0099309
ACH,2022-11-17,0.0099411,0.0100931,0.0097352,0.0098731
ACH,2022-11-18,0.0098736,0.0101308,0.0098321,0.0098826
ACH,2022-11-19,0.0098826,0.0099767,0.0096843,0.0097378
ACH,2022-11-20,0.0097379,0.0102925,0.0095642,0.0095674
ACH,2022-11-21,0.0095665,0.0095957,0.0089583,0.0091051
ACH,2022-11-22,0.009105,0.0093282,0.0089852,0.0091698
ACH,2022-11-23,0.0091712,0.0097347,0.0091682,0.0095365
ACH,2022-11-24,0.0095457,0.0099293,0.0095457,0.0096309
ACH,2022-11-25,0.0096287,0.0098509,0.0093544,0.0094226
ACH,2022-11-26,0.0094216,0.0095665,0.0093944,0.0094034
ACH,2022-11-27,0.0094034,0.0096832,0.0092695,0.0094351
ACH,2022-11-28,0.0094172,0.0103542,0.0088879,0.0092864
ACH,2022-11-29,0.0092864,0.0096249,0.00919604,0.00927657
ACH,2022-11-30,0.00931655,0.0097501,0.00926676,0.00970739
ACH,2022-12-01,0.00970729,0.0105304,0.00933903,0.0099906
ACH,2022-12-02,0.0099906,0.0102511,0.00979078,0.0100206
ACH,2022-12-03,0.0100266,0.0100842,0.00962492,0.00965897
ACH,2022-12-04,0.00965897,0.00986099,0.00965397,0.00979698
ACH,2022-12-05,0.00980396,0.010014,0.009533,0.00955119
ACH,2022-12-06,0.00955196,0.00967281,0.00937931,0.00965981
ACH,2022-12-07,0.00965981,0.009683,0.00914809,0.009209
ACH,2022-12-08,0.009209,0.00929586,0.00906381,0.00924765
ACH,2022-12-09,0.00924765,0.00951557,0.00923583,0.00926028
ACH,2022-12-10,0.00926028,0.00945609,0.00923182,0.00929681
ACH,2022-12-11,0.00929691,0.0094,0.00926809,0.00927293
ACH,2022-12-12,0.00927285,0.00927285,0.00900099,0.00923583
ACH,2022-12-13,0.00923883,0.00925483,0.00865887,0.00888387
ACH,2022-12-14,0.00888387,0.00904182,0.00876574,0.00881962
ACH,2022-12-15,0.008819,0.00883888,0.00861286,0.00865273
ACH,2022-12-16,0.00865273,0.00880488,0.00764776,0.00764776
ACH,2022-12-17,0.00764776,0.00812181,0.00752075,0.00793803
ACH,2022-12-18,0.00793511,0.0080264,0.00768269,0.00776201
ACH,2022-12-19,0.00776201,0.00783825,0.00723314,0.00726793
ACH,2022-12-20,0.00726493,0.00864,0.00724,0.00798032
ACH,2022-12-21,0.00799032,0.00815024,0.00769992,0.00773039
ACH,2022-12-22,0.00771231,0.007867,0.00757132,0.00775668
ACH,2022-12-23,0.00775284,0.00908918,0.00773492,0.00812919
ACH,2022-12-24,0.0081391,0.00841933,0.00793921,0.00807943
ACH,2022-12-25,0.00807952,0.00875904,0.00798276,0.00827892
ACH,2022-12-26,0.00826901,0.00863914,0.00819844,0.00825835
ACH,2022-12-27,0.00824843,0.00838841,0.00795634,0.00802787
ACH,2022-12-28,0.00802771,0.0081074,0.0078067,0.00783077
ACH,2022-12-29,0.007831,0.00786407,0.00753676,0.00758858
ACH,2022-12-30,0.00758259,0.00822105,0.00758251,0.00792803
ACH,2022-12-31,0.00792995,0.00795218,0.00774205,0.0077961
ACH,2023-01-01,0.00778611,0.0078869,0.00772614,0.0078733
ACH,2023-01-02,0.0078733,0.00814374,0.00779472,0.00805534
ACH,2023-01-03,0.00805342,0.00815747,0.00781672,0.00784394
ACH,2023-01-04,0.00784294,0.00823595,0.00783394,0.00808133
ACH,2023-01-05,0.00808033,0.00818454,0.00790983,0.00794422
ACH,2023-01-06,0.00794314,0.0079968,0.00781454,0.00797253
ACH,2023-01-07,0.00797845,0.00810181,0.0078941,0.0078961
ACH,2023-01-08,0.0078951,0.0080903,0.00786266,0.00798404
ACH,2023-01-09,0.00798304,0.00846282,0.00797456,0.00826592
ACH,2023-01-10,0.008268,0.00837899,0.0081511,0.00832617
ACH,2023-01-11,0.00832633,0.00839092,0.00804703,0.00836725
ACH,2023-01-12,0.008389,0.0086226,0.00815576,0.00858077
ACH,2023-01-13,0.00858486,0.00894298,0.008422,0.0088358
ACH,2023-01-14,0.00885471,0.00955543,0.00883571,0.00929446
ACH,2023-01-15,0.00930493,0.00940019,0.00890271,0.00912774
ACH,2023-01-16,0.00914565,0.0152097,0.00908773,0.0132003
ACH,2023-01-17,0.0131903,0.0144311,0.01175,0.0120412
ACH,2023-01-18,0.0120113,0.0122012,0.0100894,0.0105195
ACH,2023-01-19,0.0105595,0.0113497,0.0103099,0.0107696
ACH,2023-01-20,0.0107697,0.0115221,0.01037,0.0113019
ACH,2023-01-21,0.011312,0.0116725,0.0111417,0.0111918
ACH,2023-01-22,0.0111718,0.0112318,0.0106915,0.0108122
ACH,2023-01-23,0.0108021,0.0114411,0.010772,0.0111417
ACH,2023-01-24,0.0111516,0.0113019,0.0106716,0.0107002
ACH,2023-01-25,0.0106903,0.0131333,0.0103419,0.0112719
ACH,2023-01-26,0.011242,0.0114525,0.0109723,0.0111109
ACH,2023-01-27,0.011111,0.0112218,0.0106831,0.0110642
ACH,2023-01-28,0.0110542,0.0112926,0.0109319,0.0109522
ACH,2023-01-29,0.0109422,0.0124934,0.0109226,0.0115305
ACH,2023-01-30,0.0115506,0.016731,0.0111109,0.0152611
ACH,2023-01-31,0.0151911,0.0184289,0.0133003,0.0138612
ACH,2023-02-01,0.0138412,0.01471,0.01285,0.0140808
ACH,2023-02-02,0.0140907,0.0163041,0.0139021,0.0145129
ACH,2023-02-03,0.0145129,0.0168722,0.0139118,0.0157213
ACH,2023-02-04,0.0156913,0.018392,0.0152612,0.0177514
ACH,2023-02-05,0.0177614,0.0226252,0.0171617,0.0195449
ACH,2023-02-06,0.0195251,0.0209657,0.0177135,0.0184107
ACH,2023-02-07,0.0184007,0.0190196,0.01767,0.0186613
ACH,2023-02-08,0.0186711,0.0192213,0.0165813,0.0173512
ACH,2023-02-09,0.0173412,0.0175504,0.0144427,0.0144614
ACH,2023-02-10,0.0144614,0.0161615,0.0144136,0.0152323
ACH,2023-02-11,0.0152123,0.0159019,0.0150614,0.0157414
ACH,2023-02-12,0.0157616,0.0175419,0.0151227,0.0159913
ACH,2023-02-13,0.0159816,0.0165946,0.0148208,0.0153484
ACH,2023-02-14,0.0153583,0.0162162,0.0150211,0.0157757
ACH,2023-02-15,0.0157565,0.0184329,0.0155143,0.0178832
ACH,2023-02-16,0.0178632,0.0276025,0.0176532,0.0199668
ACH,2023-02-17,0.0199528,0.0237107,0.019502,0.0223722
ACH,2023-02-18,0.0224238,0.0235433,0.0212036,0.0229637
ACH,2023-02-19,0.0229237,0.0308371,0.0221235,0.0301266
ACH,2023-02-20,0.0300766,0.045245,0.0276453,0.0405416
ACH,2023-02-21,0.0408216,0.0494745,0.0361058,0.041127
ACH,2023-02-22,0.041047,0.0473643,0.0367748,0.0460205
ACH,2023-02-23,0.0460305,0.0513451,0.0415546,0.0446358
ACH,2023-02-24,0.0446663,0.0460087,0.0360018,0.0371296
ACH,2023-02-25,0.0371496,0.03997,0.0361436,0.0386827
ACH,2023-02-26,0.0386039,0.0406237,0.0372534,0.0385023
ACH,2023-02-27,0.0385249,0.042743,0.0377098,0.0396624
ACH,2023-02-28,0.039692,0.040352,0.033433,0.0341061
ACH,2023-03-01,0.0340668,0.0379323,0.0336654,0.0360847
ACH,2023-03-02,0.0360647,0.0365955,0.0325103,0.0344731
ACH,2023-03-03,0.0344231,0.0345431,0.0286329,0.0329423
ACH,2023-03-04,0.032912,0.033351,0.0292915,0.0303824
ACH,2023-03-05,0.0303724,0.033873,0.0303224,0.0326036
ACH,2023-03-06,0.0325836,0.0326203,0.0308825,0.0315281
ACH,2023-03-07,0.0315068,0.0330493,0.0289588,0.0294085
ACH,2023-03-08,0.0294485,0.03086,0.0250685,0.025489
ACH,2023-03-09,0.0254767,0.0302403,0.0250023,0.0250123
ACH,2023-03-10,0.0250125,0.0264272,0.0225982,0.0261641
ACH,2023-03-11,0.0261335,0.0271905,0.0237525,0.0249899
ACH,2023-03-12,0.0250535,0.0274636,0.0235331,0.0270655
ACH,2023-03-13,0.0270554,0.0353117,0.0269418,0.034969
ACH,2023-03-14,0.0349389,0.0399912,0.0329615,0.0362086
ACH,2023-03-15,0.0361784,0.0416895,0.0316689,0.0341428
ACH,2023-03-16,0.0341328,0.0362592,0.0329148,0.0346751
ACH,2023-03-17,0.0346454,0.0400102,0.0339943,0.0393774
ACH,2023-03-18,0.0393874,0.0437474,0.0377918,0.0382942
ACH,2023-03-19,0.0383748,0.0450142,0.0370353,0.0422677
ACH,2023-03-20,0.0422075,0.0426012,0.0370269,0.0379079
ACH,2023-03-21,0.0378778,0.0399143,0.0354725,0.0385831
ACH,2023-03-22,0.0386028,0.0388962,0.0334554,0.0356567
ACH,2023-03-23,0.0355171,0.0368218,0.0342388,0.0355438
ACH,2023-03-24,0.0355338,0.0360473,0.0313213,0.0320349
ACH,2023-03-25,0.0319654,0.0341948,0.0317458,0.0323113
ACH,2023-03-26,0.0323013,0.0343008,0.0319584,0.0331975
ACH,2023-03-27,0.0332265,0.0339636,0.0302503,0.0311346
ACH,2023-03-28,0.0311346,0.0334834,0.0305695,0.0328425
ACH,2023-03-29,0.0328328,0.0354985,0.0326724,0.0351746
ACH,2023-03-30,0.0350467,0.0382334,0.0339651,0.0352795
ACH,2023-03-31,0.0353099,0.0364644,0.0340502,0.0356471
ACH,2023-04-01,0.0356371,0.0363713,0.0341178,0.0346125
ACH,2023-04-02,0.0346625,0.0359051,0.0327626,0.0331706
ACH,2023-04-03,0.0332006,0.0395162,0.0320067,0.0360741
ACH,2023-04-04,0.0361945,0.0382957,0.035516,0.0374291
ACH,2023-04-05,0.0374987,0.038632,0.0361015,0.0367432
ACH,2023-04-06,0.0367436,0.0414415,0.0360908,0.040014
ACH,2023-04-07,0.040134,0.0436518,0.0394293,0.0397394
ACH,2023-04-08,0.0397594,0.0406452,0.0375488,0.0378247
ACH,2023-04-09,0.0378047,0.0444166,0.0370926,0.0414148
ACH,2023-04-10,0.0413189,0.0438798,0.0393972,0.0430453
ACH,2023-04-11,0.043235,0.0441905,0.041444,0.0422117
ACH,2023-04-12,0.0422318,0.0431723,0.039059,0.0412622
